sentence,sentiment,emotion,pos
Saya suka makan nasi lemak.,positive,happy,"Saya (PRON), suka (VERB), makan (VERB), nasi (NOUN), lemak (ADJ)"
Mereka sedang bermain bola di padang.,neutral,happy,"Mereka (PRON), sedang (ADV), bermain (VERB), bola (NOUN), di (PREP), padang (NOUN)"
Dia pergi ke pasar untuk membeli sayur.,neutral,surprise,"Dia (PRON), pergi (VERB), ke (PREP), pasar (NOUN), untuk (PREP), membeli (VERB), sayur (NOUN)"
Kami belajar matematik di sekolah hari ini.,neutral,happy,"Kami (PRON), belajar (VERB), matematik (NOUN), di (PREP), sekolah (NOUN), hari (NOUN), ini (PRON)"
Buku itu sangat menarik untuk dibaca.,positive,happy,"Buku (NOUN), itu (PRON), sangat (ADV), menarik (ADJ), untuk (PREP), dibaca (VERB)"
Anak-anak itu senang sekali bermain di taman.,positive,happy,"Anak-anak (NOUN), itu (PRON), senang (ADJ), sekali (ADV), bermain (VERB), di (PREP), taman (NOUN)"
Kami kesal dengan pelayanan yang buruk di restoran itu.,negative,angry,"Kami (PRON), kesal (ADJ), dengan (PREP), pelayanan (NOUN), yang (PRON), buruk (ADJ), di (PREP), restoran (NOUN), itu (PRON)"
Kami akan pergi ke kantin untuk makan.,neutral,sad,"Kami (PRON), akan (AUX), pergi (VERB), ke (PREP), kantin (NOUN), untuk (PREP), makan (VERB) "
Dia sedang membaca buku di perpustakaan. ,neutral,sad,"Dia (PRON), sedang (ADV), membaca (VERB), buku (NOUN), di (PREP), perpustakaan (NOUN) "
Mereka sedang berjalan di jalan raya. ,neutral,happy,"Mereka (PRON), sedang (ADV), berjalan (VERB), di (PREP), jalan (NOUN), raya (ADJ) "
Hujan turun dengan deras hari ini. ,neutral,surprise,"Hujan (NOUN), turun (VERB), dengan (PREP), deras (ADJ), hari (NOUN), ini (PRON) "
Dia berharap untuk dapat membantu orang lain dengan kemampuannya.,positive,happy,"Dia (PRON), berharap (VERB), untuk (PREP), dapat (AUX), membantu (VERB), orang (NOUN), lain (ADJ), dengan (PREP), kemampuan (NOUN), nya (PRON)"
Mereka bermimpi tentang kehidupan yang lebih bahagia dan damai.,positive,happy,"Mereka (PRON), bermimpi (VERB), tentang (PREP), kehidupan (NOUN), yang (PRON), lebih (ADV), bahagia (ADJ), dan (CONJ), damai (ADJ) "
Saya berharap masa depan saya akan lebih baik dan penuh kejayaan.,positive,happy,"Saya (PRON), berharap (VERB), masa (NOUN), depan (NOUN), saya (PRON), akan (AUX), lebih (ADV), baik (ADJ), dan (CONJ), penuh (ADJ), kejayaan (NOUN) "
Saya sedih sekali dengan perpisahan daripada teman baik saya.,negative,sad,"Saya (PRON), sedih (ADJ), sekali (ADV), dengan (PREP), perpisahan (NOUN), daripada (PREP), teman (NOUN), baik (ADJ), saya (PRON) "
Mereka merasa frustrasi kerana tidak dapat menyelesaikan masalah itu.,negative,angry,"Mereka (PRON), merasa (VERB), frustrasi (ADJ), kerana (PREP), tidak (ADV), dapat (AUX), menyelesaikan (VERB), masalah (NOUN), itu (PRON)  "
Dia merasa sangat tertekan dengan tekanan pekerjaan yang besar.,negative,sad,"Dia (PRON), merasa (VERB), sangat (ADV), tertekan (ADJ), dengan (PREP), tekanan (NOUN), pekerjaan (NOUN), yang (PRON), besar (ADJ)  "
Dia mengagumi keindahan alam sekitar dengan penuh hati.,positive,happy,"Dia (PRON), mengagumi (VERB), keindahan (NOUN), alam (NOUN), sekitar (ADJ), dengan (PREP), penuh (ADJ), hati (NOUN)"
Mereka bersantailah dengan penuh kegembiraan ketika mendengar kabar baik itu.,positive,happy,"Mereka (PRON), bersantai (VERB), dengan (PREP), penuh (ADJ), kegembiraan (NOUN), ketika (PREP), mendengar (VERB), kabar (NOUN), baik (ADJ), itu (PRON) "
Saya merasa sangat bersemangat untuk menyambut hari raya ini dengan keluarga.,positive,happy,"Saya (PRON), merasa (VERB), sangat (ADV), bersemangat (ADJ), untuk (PREP), menyambut (VERB), hari (NOUN), raya (NOUN), ini (PRON), dengan (PREP), keluarga (NOUN) "
Dia terkejut apabila melihat orang lama yang tidak pernah dia jangka.,neutral,surprise,"Dia (PRON), terkejut (ADJ), apabila (PREP), melihat (VERB), orang (NOUN), lama (ADJ), yang (PRON), tidak (ADV), pernah (ADV), dia (PRON), jangka (VERB) "
Mereka tercengang dengan hadiah yang besar itu.,neutral,surprise,"Mereka (PRON), tercengang (ADJ), dengan (PREP), hadiah (NOUN), yang (PRON), besar (ADJ), itu (PRON)  "
Saya terkejut dengan kejadian yang tidak terduga itu.,neutral,surprise,"Saya (PRON), terkejut (ADJ), dengan (PREP), kejadian (NOUN), yang (PRON), tidak (ADV), terduga (ADJ), itu (PRON)  "
Saya takut gagal dalam ujian yang akan datang.,negative,fear,"Saya (PRON), takut (ADJ), gagal (VERB), dalam (PREP), ujian (NOUN), yang (PRON), akan (AUX), datang (VERB) "
Mereka ketakutan apabila mendengar suara aneh di sekitar rumah mereka.,negative,fear,"Mereka (PRON), ketakutan (ADJ), apabila (PREP), mendengar (VERB), suara (NOUN), aneh (ADJ), di (PREP), sekitar (ADJ), rumah (NOUN), mereka (PRON) "
Dia merasa takut dengan kegelapan di hutan itu.,negative,fear,"Dia (PRON), merasa (VERB), takut (ADJ), dengan (PREP), kegelapan (NOUN), di (PREP), hutan (NOUN), itu (PRON) "
Saya cemburu kerana tidak dapat memiliki barang yang diidamkan itu.,negative,angry,"Saya (PRON), cemburu (ADJ), kerana (PREP), tidak (ADV), dapat (AUX), memiliki (VERB), barang (NOUN), yang (PRON), diidamkan (VERB), itu (PRON)  "
Mereka cemburu dengan kehidupan yang lebih baik orang lain.,negative,angry,"Mereka (PRON), cemburu (ADJ), dengan (PREP), kehidupan (NOUN), yang (PRON), lebih (ADV), baik (ADJ), orang (NOUN), lain (ADJ) "
Dia merasa cemburu dengan kejayaan teman sekerja itu.,negative,angry,"Dia (PRON), merasa (VERB), cemburu (ADJ), dengan (PREP), kejayaan (NOUN), teman (NOUN), sekerja (ADJ), itu (PRON) "
Dia menunjukkan cintanya kepada pasangannya dengan cara yang indah.,positive,love,"Dia (PRON), menunjukkan (VERB), cinta (NOUN), nya (PRON), kepada (PREP), pasangan (NOUN), nya (PRON), dengan (PREP), cara (NOUN), yang (PRON), indah (ADJ) "
Mereka sangat sayang kepada anak - anak mereka.,positive,love,"Mereka (PRON), sangat (ADV), sayang (ADJ), kepada (PREP), anak (NOUN), anak (NOUN), mereka (PRON)"
Saya cinta kepada keluargaku dengan sepenuh hati.,positive,love,"Saya (PRON), cinta (VERB), kepada (PREP), keluarga (NOUN), ku (PRON), dengan (PREP), sepenuh (ADJ), hati (NOUN)"
Saya marah kerana telah ditipu oleh seseorang.,negative,angry,"Saya (PRON), marah (ADJ), kerana (PREP), telah (AUX), ditipu (VERB), oleh (PREP), seseorang (PRON)"
Mereka marah dengan pelanggaran peraturan yang dilakukan oleh seseorang.,negative,angry,"Mereka (PRON), marah (ADJ), dengan (PREP), pelanggaran (NOUN), peraturan (NOUN), yang (PRON), dilakukan (VERB), oleh (PREP), seseorang (PRON) "
Dia benar - benar marah dengan tingkah laku teman itu.,negative,angry,"Dia (PRON), benar (ADJ), benar (ADJ), marah (ADJ), dengan (PREP), tingkah (NOUN), laku (NOUN), teman (NOUN), itu (PRON) "
